# k[h/Mpc]   P(k)[(Mpc/h)^3]
0.00256509   12939.4
0.002571   12962.2
0.00257693   12985.1
0.00258287   13008
0.00258883   13030.9
0.0025948   13053.9
0.00260078   13076.8
0.00260678   13099.8
0.00261279   13122.9
0.00261881   13145.9
0.00262485   13169
0.0026309   13192
0.00263697   13215.2
0.00264305   13238.3
0.00264915   13261.4
0.00265525   13284.6
0.00266138   13307.8
0.00266751   13331
0.00267366   13354.3
0.00267983   13377.6
0.00268601   13400.8
0.0026922   13424.2
0.00269841   13447.5
0.00270463   13470.9
0.00271087   13494.2
0.00271712   13517.6
0.00272338   13541.1
0.00272966   13564.5
0.00273596   13588
0.00274227   13611.5
0.00274859   13635
0.00275493   13658.5
0.00276128   13682.1
0.00276765   13705.7
0.00277403   13729.3
0.00278042   13752.9
0.00278684   13776.5
0.00279326   13800.2
0.0027997   13823.9
0.00280616   13847.6
0.00281263   13871.3
0.00281911   13895.1
0.00282561   13918.8
0.00283213   13942.6
0.00283866   13966.4
0.0028452   13990.3
0.00285177   14014.1
0.00285834   14038
0.00286493   14061.9
0.00287154   14085.8
0.00287816   14109.8
0.0028848   14133.7
0.00289145   14157.7
0.00289811   14181.7
0.0029048   14205.7
0.00291149   14229.8
0.00291821   14253.8
0.00292494   14277.9
0.00293168   14302
0.00293844   14326.1
0.00294522   14350.3
0.00295201   14374.4
0.00295881   14398.6
0.00296564   14422.8
0.00297248   14447
0.00297933   14471.3
0.0029862   14495.5
0.00299308   14519.8
0.00299999   14544.1
0.0030069   14568.4
0.00301384   14592.7
0.00302079   14617.1
0.00302775   14641.5
0.00303473   14665.9
0.00304173   14690.3
0.00304874   14714.7
0.00305577   14739.2
0.00306282   14763.6
0.00306988   14788.1
0.00307696   14812.6
0.00308406   14837.1
0.00309117   14861.7
0.0030983   14886.2
0.00310544   14910.8
0.0031126   14935.4
0.00311978   14960
0.00312697   14984.6
0.00313418   15009.3
0.00314141   15033.9
0.00314865   15058.6
0.00315591   15083.3
0.00316319   15108
0.00317048   15132.8
0.00317779   15157.5
0.00318512   15182.3
0.00319246   15207.1
0.00319983   15231.9
0.0032072   15256.7
0.0032146   15281.5
0.00322201   15306.4
0.00322944   15331.2
0.00323689   15356.1
0.00324435   15381
0.00325183   15405.9
0.00325933   15430.9
0.00326685   15455.8
0.00327438   15480.8
0.00328193   15505.8
0.0032895   15530.8
0.00329708   15555.8
0.00330468   15580.8
0.0033123   15605.8
0.00331994   15630.9
0.0033276   15656
0.00333527   15681.1
0.00334296   15706.2
0.00335067   15731.3
0.00335839   15756.4
0.00336614   15781.6
0.0033739   15806.7
0.00338168   15831.9
0.00338948   15857.1
0.00339729   15882.3
0.00340512   15907.5
0.00341298   15932.8
0.00342085   15958
0.00342873   15983.3
0.00343664   16008.5
0.00344456   16033.8
0.00345251   16059.1
0.00346047   16084.4
0.00346845   16109.8
0.00347644   16135.1
0.00348446   16160.5
0.00349249   16185.8
0.00350055   16211.2
0.00350862   16236.6
0.00351671   16262
0.00352482   16287.4
0.00353295   16312.9
0.00354109   16338.3
0.00354926   16363.8
0.00355744   16389.2
0.00356564   16414.7
0.00357387   16440.2
0.00358211   16465.7
0.00359037   16491.2
0.00359865   16516.8
0.00360694   16542.3
0.00361526   16567.8
0.0036236   16593.4
0.00363195   16619
0.00364033   16644.6
0.00364872   16670.2
0.00365713   16695.8
0.00366557   16721.4
0.00367402   16747
0.00368249   16772.6
0.00369098   16798.3
0.00369949   16823.9
0.00370802   16849.6
0.00371657   16875.3
0.00372514   16901
0.00373373   16926.7
0.00374234   16952.4
0.00375097   16978.1
0.00375962   17003.8
0.00376829   17029.5
0.00377698   17055.3
0.00378569   17081
0.00379441   17106.8
0.00380316   17132.5
0.00381193   17158.3
0.00382072   17184.1
0.00382953   17209.9
0.00383836   17235.7
0.00384721   17261.5
0.00385608   17287.3
0.00386498   17313.2
0.00387389   17339
0.00388282   17364.8
0.00389177   17390.7
0.00390075   17416.5
0.00390974   17442.4
0.00391876   17468.2
0.00392779   17494.1
0.00393685   17520
0.00394593   17545.9
0.00395503   17571.8
0.00396415   17597.7
0.00397329   17623.6
0.00398245   17649.5
0.00399163   17675.4
0.00400083   17701.3
0.00401006   17727.3
0.00401931   17753.2
0.00402857   17779.1
0.00403786   17805.1
0.00404717   17831
0.00405651   17857
0.00406586   17883
0.00407523   17908.9
0.00408463   17934.9
0.00409405   17960.9
0.00410349   17986.8
0.00411295   18012.8
0.00412243   18038.8
0.00413194   18064.8
0.00414147   18090.8
0.00415102   18116.8
0.00416059   18142.8
0.00417018   18168.8
0.0041798   18194.8
0.00418944   18220.8
0.0041991   18246.8
0.00420878   18272.8
0.00421848   18298.8
0.00422821   18324.8
0.00423796   18350.8
0.00424773   18376.9
0.00425753   18402.9
0.00426734   18428.9
0.00427718   18454.9
0.00428704   18481
0.00429693   18507
0.00430684   18533
0.00431677   18559.1
0.00432672   18585.1
0.0043367   18611.1
0.0043467   18637.1
0.00435672   18663.2
0.00436677   18689.2
0.00437684   18715.2
0.00438693   18741.3
0.00439704   18767.3
0.00440718   18793.3
0.00441734   18819.4
0.00442753   18845.4
0.00443774   18871.4
0.00444797   18897.4
0.00445823   18923.5
0.00446851   18949.5
0.00447881   18975.5
0.00448914   19001.5
0.00449949   19027.6
0.00450986   19053.6
0.00452026   19079.6
0.00453069   19105.6
0.00454113   19131.6
0.0045516   19157.6
0.0045621   19183.6
0.00457262   19209.6
0.00458316   19235.6
0.00459373   19261.6
0.00460432   19287.6
0.00461494   19313.6
0.00462558   19339.6
0.00463625   19365.5
0.00464694   19391.5
0.00465765   19417.5
0.00466839   19443.4
0.00467916   19469.4
0.00468995   19495.3
0.00470076   19521.3
0.0047116   19547.2
0.00472246   19573.2
0.00473335   19599.1
0.00474427   19625
0.00475521   19651
0.00476617   19676.9
0.00477716   19702.8
0.00478818   19728.7
0.00479922   19754.6
0.00481028   19780.5
0.00482137   19806.3
0.00483249   19832.2
0.00484363   19858.1
0.0048548   19883.9
0.004866   19909.8
0.00487722   19935.6
0.00488846   19961.5
0.00489973   19987.3
0.00491103   20013.1
0.00492236   20038.9
0.00493371   20064.7
0.00494508   20090.5
0.00495648   20116.3
0.00496791   20142.1
0.00497937   20167.8
0.00499085   20193.6
0.00500236   20219.3
0.00501389   20245
0.00502545   20270.8
0.00503704   20296.5
0.00504866   20322.2
0.0050603   20347.9
0.00507197   20373.5
0.00508366   20399.2
0.00509538   20424.9
0.00510713   20450.5
0.00511891   20476.1
0.00513071   20501.8
0.00514254   20527.4
0.0051544   20553
0.00516628   20578.6
0.0051782   20604.1
0.00519014   20629.7
0.0052021   20655.2
0.0052141   20680.8
0.00522612   20706.3
0.00523817   20731.8
0.00525025   20757.3
0.00526236   20782.8
0.00527449   20808.2
0.00528665   20833.7
0.00529884   20859.1
0.00531106   20884.5
0.00532331   20909.9
0.00533558   20935.3
0.00534788   20960.7
0.00536022   20986
0.00537258   21011.4
0.00538496   21036.7
0.00539738   21062
0.00540983   21087.3
0.0054223   21112.6
0.0054348   21137.8
0.00544733   21163.1
0.0054599   21188.3
0.00547248   21213.5
0.0054851   21238.7
0.00549775   21263.9
0.00551043   21289
0.00552313   21314.2
0.00553587   21339.3
0.00554863   21364.4
0.00556143   21389.5
0.00557425   21414.5
0.0055871   21439.6
0.00559999   21464.6
0.0056129   21489.6
0.00562584   21514.6
0.00563881   21539.5
0.00565182   21564.5
0.00566485   21589.4
0.00567791   21614.3
0.005691   21639.2
0.00570413   21664
0.00571728   21688.9
0.00573046   21713.7
0.00574367   21738.5
0.00575692   21763.3
