# r[Mpc/h]   xi_quantum(r)
130.61   -0.0642176
130.859   -0.0654145
131.108   -0.0665922
131.357   -0.0677505
131.607   -0.06889
131.856   -0.0700105
132.105   -0.0711131
132.354   -0.0721978
132.604   -0.0732643
132.853   -0.0743132
133.102   -0.0753444
133.351   -0.0763587
133.601   -0.0773564
133.85   -0.0783369
134.099   -0.0793011
134.348   -0.0802485
134.598   -0.0811803
134.847   -0.0820964
135.096   -0.0829965
135.345   -0.0838813
135.595   -0.0847504
135.844   -0.0856047
136.093   -0.0864446
136.342   -0.0872693
136.592   -0.0880797
136.841   -0.0888755
137.09   -0.0896574
137.339   -0.0904258
137.589   -0.09118
137.838   -0.0919209
138.087   -0.092648
138.336   -0.0933621
138.586   -0.0940636
138.835   -0.0947518
139.084   -0.0954275
139.333   -0.0960903
139.583   -0.0967409
139.832   -0.0973797
140.081   -0.0980061
140.33   -0.0986208
140.58   -0.0992235
140.829   -0.0998146
141.078   -0.100395
141.327   -0.100963
141.577   -0.101521
141.826   -0.102067
142.075   -0.102603
142.324   -0.103128
142.574   -0.103643
142.823   -0.104147
143.072   -0.10464
143.321   -0.105124
143.571   -0.105598
143.82   -0.106061
144.069   -0.106515
144.318   -0.10696
144.568   -0.107394
144.817   -0.10782
145.066   -0.108236
145.315   -0.108644
145.565   -0.109042
145.814   -0.109431
146.063   -0.109812
146.312   -0.110184
146.562   -0.110547
146.811   -0.110902
147.06   -0.111248
147.309   -0.111587
147.559   -0.111917
147.808   -0.11224
148.057   -0.112554
148.306   -0.112861
148.556   -0.11316
148.805   -0.113452
149.054   -0.113736
149.303   -0.114013
149.553   -0.114282
149.802   -0.114544
150.051   -0.114799
150.3   -0.115048
150.55   -0.115289
150.799   -0.115523
151.048   -0.115751
151.297   -0.115973
151.547   -0.116187
151.796   -0.116396
152.045   -0.116597
152.294   -0.116793
152.544   -0.116983
152.793   -0.117166
153.042   -0.117343
153.291   -0.117515
153.541   -0.11768
153.79   -0.11784
154.039   -0.117994
154.288   -0.118143
154.538   -0.118286
154.787   -0.118423
155.036   -0.118555
155.285   -0.118682
155.535   -0.118804
155.784   -0.11892
156.033   -0.119031
156.282   -0.119138
156.532   -0.119239
156.781   -0.119335
157.03   -0.119427
157.279   -0.119513
157.529   -0.119596
157.778   -0.119673
158.027   -0.119746
158.276   -0.119814
158.526   -0.119878
158.775   -0.119938
159.024   -0.119993
159.273   -0.120044
159.523   -0.12009
159.772   -0.120133
160.021   -0.120172
160.27   -0.120206
160.52   -0.120237
160.769   -0.120263
161.018   -0.120286
161.267   -0.120305
161.517   -0.12032
161.766   -0.120332
162.015   -0.120339
162.264   -0.120344
162.514   -0.120345
162.763   -0.120342
163.012   -0.120336
163.261   -0.120326
163.511   -0.120313
163.76   -0.120297
164.009   -0.120277
164.258   -0.120254
164.508   -0.120228
164.757   -0.120199
165.006   -0.120167
165.255   -0.120132
165.505   -0.120094
165.754   -0.120053
166.003   -0.120009
166.252   -0.119962
166.502   -0.119913
166.751   -0.11986
167   -0.119805
167.249   -0.119747
167.498   -0.119687
167.748   -0.119624
167.997   -0.119559
168.246   -0.11949
168.495   -0.11942
168.745   -0.119347
168.994   -0.119271
169.243   -0.119193
169.492   -0.119113
169.742   -0.11903
169.991   -0.118946
170.24   -0.118859
170.489   -0.118769
170.739   -0.118678
170.988   -0.118584
171.237   -0.118489
171.486   -0.118391
171.736   -0.118291
171.985   -0.118189
172.234   -0.118085
172.483   -0.11798
172.733   -0.117872
172.982   -0.117763
173.231   -0.117651
173.48   -0.117538
173.73   -0.117423
173.979   -0.117306
174.228   -0.117188
174.477   -0.117067
174.727   -0.116945
174.976   -0.116822
175.225   -0.116697
175.474   -0.11657
175.724   -0.116441
175.973   -0.116311
176.222   -0.11618
176.471   -0.116047
176.721   -0.115913
176.97   -0.115777
177.219   -0.115639
177.468   -0.115501
177.718   -0.11536
177.967   -0.115219
178.216   -0.115076
178.465   -0.114932
178.715   -0.114787
178.964   -0.11464
179.213   -0.114492
179.462   -0.114343
179.712   -0.114192
179.961   -0.114041
180.21   -0.113888
180.459   -0.113735
180.709   -0.11358
180.958   -0.113423
181.207   -0.113267
181.456   -0.113108
181.706   -0.112949
181.955   -0.112789
182.204   -0.112628
182.453   -0.112466
182.703   -0.112303
182.952   -0.112139
183.201   -0.111974
183.45   -0.111807
183.7   -0.111641
183.949   -0.111473
184.198   -0.111305
184.447   -0.111136
184.697   -0.110965
184.946   -0.110794
185.195   -0.110623
185.444   -0.11045
185.694   -0.110277
185.943   -0.110103
186.192   -0.109928
186.441   -0.109753
186.691   -0.109576
186.94   -0.1094
187.189   -0.109222
187.438   -0.109044
187.688   -0.108865
187.937   -0.108686
188.186   -0.108506
188.435   -0.108325
188.685   -0.108144
188.934   -0.107963
189.183   -0.10778
189.432   -0.107598
189.682   -0.107414
189.931   -0.10723
190.18   -0.107046
190.429   -0.106861
190.679   -0.106676
190.928   -0.10649
191.177   -0.106304
191.426   -0.106117
191.676   -0.10593
191.925   -0.105743
192.174   -0.105554
192.423   -0.105366
192.673   -0.105178
192.922   -0.104988
193.171   -0.104799
193.42   -0.104609
193.67   -0.104419
193.919   -0.104229
194.168   -0.104038
194.417   -0.103847
194.667   -0.103655
194.916   -0.103464
195.165   -0.103272
195.414   -0.10308
195.664   -0.102888
195.913   -0.102695
196.162   -0.102502
196.411   -0.102309
196.661   -0.102115
196.91   -0.101922
197.159   -0.101728
197.408   -0.101534
197.658   -0.10134
197.907   -0.101145
198.156   -0.100951
198.405   -0.100756
198.655   -0.100561
198.904   -0.100366
199.153   -0.100171
199.402   -0.0999759
199.652   -0.0997802
199.901   -0.0995846
200.15   -0.0993894
200.399   -0.0991932
200.649   -0.0989978
200.898   -0.0988017
201.147   -0.0986055
201.396   -0.0984099
201.646   -0.0982133
201.895   -0.0980175
202.144   -0.0978212
202.393   -0.0976246
202.643   -0.0974288
202.892   -0.097232
203.141   -0.097036
203.39   -0.0968395
203.64   -0.0966428
203.889   -0.0964469
204.138   -0.09625
204.387   -0.0960539
204.637   -0.0958575
204.886   -0.0956607
205.135   -0.095465
205.384   -0.0952682
205.634   -0.0950721
205.883   -0.0948759
206.132   -0.0946792
206.381   -0.0944837
206.631   -0.0942871
206.88   -0.0940913
207.129   -0.0938955
207.378   -0.093699
207.628   -0.0935038
207.877   -0.0933076
208.126   -0.0931121
208.375   -0.0929167
208.625   -0.0927206
208.874   -0.0925259
209.123   -0.0923301
209.372   -0.0921351
209.622   -0.0919403
209.871   -0.0917446
210.12   -0.0915505
210.369   -0.0913554
210.619   -0.0911608
210.868   -0.0909668
211.117   -0.0907717
211.366   -0.0905783
211.616   -0.0903838
211.865   -0.0901899
212.114   -0.0899966
212.363   -0.0898022
212.613   -0.0896096
212.862   -0.089416
213.111   -0.0892228
213.36   -0.0890304
213.61   -0.0888368
213.859   -0.088645
214.108   -0.0884523
214.357   -0.0882599
214.607   -0.0880685
214.856   -0.0878758
215.105   -0.0876849
215.354   -0.0874932
215.604   -0.0873016
215.853   -0.0871114
216.102   -0.0869196
216.351   -0.0867296
216.601   -0.0865391
216.85   -0.0863484
217.099   -0.0861593
217.348   -0.0859686
217.598   -0.0857797
217.847   -0.0855903
218.096   -0.0854007
218.345   -0.0852128
218.595   -0.0850231
218.844   -0.0848353
219.093   -0.0846473
219.342   -0.0844586
219.592   -0.084272
219.841   -0.0840835
220.09   -0.0838969
220.339   -0.0837102
220.589   -0.0835226
220.838   -0.0833374
221.087   -0.0831501
221.336   -0.0829646
221.586   -0.0827793
221.835   -0.0825929
222.084   -0.0824091
222.333   -0.0822231
222.583   -0.0820389
222.832   -0.0818551
223.081   -0.0816698
223.33   -0.0814874
223.58   -0.0813028
223.829   -0.0811198
224.078   -0.0809375
224.327   -0.0807535
224.577   -0.0805726
224.826   -0.0803894
225.075   -0.0802077
225.324   -0.080027
225.574   -0.0798443
225.823   -0.0796648
226.072   -0.0794831
226.321   -0.0793027
226.571   -0.0791236
226.82   -0.0789422
227.069   -0.0787642
227.318   -0.0785841
227.568   -0.0784049
227.817   -0.0782276
228.066   -0.0780475
228.315   -0.0778711
228.565   -0.0776926
228.814   -0.0775147
229.063   -0.0773392
229.312   -0.0771604
229.562   -0.0769855
229.811   -0.0768087
230.06   -0.0766321
230.309   -0.0764583
230.559   -0.076281
230.808   -0.0761076
231.057   -0.0759326
231.306   -0.0757572
231.556   -0.0755853
231.805   -0.0754094
232.054   -0.0752376
232.303   -0.0750643
232.553   -0.0748902
232.802   -0.0747202
233.051   -0.0745457
233.3   -0.0743754
233.55   -0.0742041
233.799   -0.0740312
234.048   -0.0738631
234.297   -0.0736901
234.547   -0.0735213
234.796   -0.0733519
235.045   -0.0731803
235.294   -0.073014
235.544   -0.0728426
235.793   -0.0726753
236.042   -0.0725079
236.291   -0.0723374
236.541   -0.0721732
236.79   -0.0720034
237.039   -0.0718374
237.288   -0.0716721
237.538   -0.0715028
237.787   -0.0713405
238.036   -0.0711724
238.285   -0.0710077
238.535   -0.0708446
238.784   -0.0706765
239.033   -0.0705162
239.282   -0.0703497
