# k[h/Mpc]   P(k)[(Mpc/h)^3]
0.00579683   2.22213e+07
0.0058102   2.22464e+07
0.0058236   2.22715e+07
0.00583702   2.22966e+07
0.00585048   2.23216e+07
0.00586397   2.23467e+07
0.0058775   2.23717e+07
0.00589105   2.23966e+07
0.00590463   2.24216e+07
0.00591825   2.24465e+07
0.00593189   2.24714e+07
0.00594557   2.24963e+07
0.00595928   2.25211e+07
0.00597302   2.2546e+07
0.00598679   2.25708e+07
0.0060006   2.25955e+07
0.00601443   2.26203e+07
0.0060283   2.2645e+07
0.0060422   2.26697e+07
0.00605614   2.26944e+07
0.0060701   2.2719e+07
0.0060841   2.27436e+07
0.00609812   2.27682e+07
0.00611219   2.27928e+07
0.00612628   2.28173e+07
0.00614041   2.28418e+07
0.00615456   2.28663e+07
0.00616876   2.28907e+07
0.00618298   2.29151e+07
0.00619724   2.29395e+07
0.00621153   2.29639e+07
0.00622585   2.29882e+07
0.0062402   2.30125e+07
0.00625459   2.30367e+07
0.00626901   2.3061e+07
0.00628347   2.30852e+07
0.00629796   2.31094e+07
0.00631248   2.31335e+07
0.00632704   2.31576e+07
0.00634162   2.31817e+07
0.00635625   2.32058e+07
0.0063709   2.32298e+07
0.00638559   2.32538e+07
0.00640032   2.32777e+07
0.00641508   2.33016e+07
0.00642987   2.33255e+07
0.00644469   2.33494e+07
0.00645955   2.33732e+07
0.00647445   2.3397e+07
0.00648938   2.34208e+07
0.00650434   2.34445e+07
0.00651934   2.34682e+07
0.00653437   2.34918e+07
0.00654944   2.35154e+07
0.00656454   2.3539e+07
0.00657968   2.35626e+07
0.00659485   2.35861e+07
0.00661005   2.36096e+07
0.0066253   2.3633e+07
0.00664057   2.36564e+07
0.00665588   2.36798e+07
0.00667123   2.37031e+07
0.00668661   2.37264e+07
0.00670203   2.37497e+07
0.00671749   2.37729e+07
0.00673298   2.37961e+07
0.0067485   2.38193e+07
0.00676406   2.38424e+07
0.00677966   2.38655e+07
0.00679529   2.38885e+07
0.00681096   2.39115e+07
0.00682666   2.39345e+07
0.00684241   2.39574e+07
0.00685818   2.39803e+07
0.006874   2.40031e+07
0.00688985   2.40259e+07
0.00690573   2.40487e+07
0.00692166   2.40714e+07
0.00693762   2.40941e+07
0.00695361   2.41167e+07
0.00696965   2.41394e+07
0.00698572   2.41619e+07
0.00700183   2.41844e+07
0.00701797   2.42069e+07
0.00703415   2.42294e+07
0.00705037   2.42518e+07
0.00706663   2.42741e+07
0.00708292   2.42964e+07
0.00709926   2.43187e+07
0.00711563   2.43409e+07
0.00713203   2.43631e+07
0.00714848   2.43853e+07
0.00716496   2.44074e+07
0.00718148   2.44294e+07
0.00719804   2.44514e+07
0.00721464   2.44734e+07
0.00723127   2.44953e+07
0.00724795   2.45172e+07
0.00726466   2.4539e+07
0.00728141   2.45608e+07
0.0072982   2.45826e+07
0.00731503   2.46043e+07
0.0073319   2.46259e+07
