# r[Mpc/h]   xi(r)
135.595   -0.0850647
135.844   -0.0859077
136.093   -0.0867361
136.342   -0.0875496
136.592   -0.0883491
136.841   -0.0891342
137.09   -0.0899054
137.339   -0.0906629
137.589   -0.0914066
137.838   -0.0921372
138.087   -0.0928543
138.336   -0.0935584
138.586   -0.0942498
138.835   -0.0949281
139.084   -0.0955943
139.333   -0.0962478
139.583   -0.0968891
139.832   -0.0975186
140.081   -0.0981357
140.33   -0.0987414
140.58   -0.0993353
140.829   -0.0999177
141.078   -0.100489
141.327   -0.101049
141.577   -0.101598
141.826   -0.102136
142.075   -0.102663
142.324   -0.10318
142.574   -0.103686
142.823   -0.104182
143.072   -0.104667
143.321   -0.105143
143.571   -0.105609
143.82   -0.106064
144.069   -0.106511
144.318   -0.106948
144.568   -0.107375
144.817   -0.107793
145.066   -0.108202
145.315   -0.108603
145.565   -0.108994
145.814   -0.109376
146.063   -0.10975
146.312   -0.110115
146.562   -0.110472
146.811   -0.11082
147.06   -0.11116
147.309   -0.111492
147.559   -0.111816
147.808   -0.112132
148.057   -0.112441
148.306   -0.112741
148.556   -0.113034
148.805   -0.113319
149.054   -0.113597
149.303   -0.113868
149.553   -0.114131
149.802   -0.114388
150.051   -0.114637
150.3   -0.11488
150.55   -0.115116
150.799   -0.115345
151.048   -0.115567
151.297   -0.115783
151.547   -0.115993
151.796   -0.116196
152.045   -0.116392
152.294   -0.116583
152.544   -0.116768
152.793   -0.116946
153.042   -0.117119
153.291   -0.117285
153.541   -0.117447
153.79   -0.117602
154.039   -0.117751
154.288   -0.117895
154.538   -0.118033
154.787   -0.118166
155.036   -0.118294
155.285   -0.118416
155.535   -0.118534
155.784   -0.118645
156.033   -0.118753
156.282   -0.118855
156.532   -0.118952
156.781   -0.119044
157.03   -0.119131
157.279   -0.119214
157.529   -0.119293
157.778   -0.119366
158.027   -0.119436
158.276   -0.1195
158.526   -0.119561
158.775   -0.119617
159.024   -0.119668
159.273   -0.119716
159.523   -0.119759
159.772   -0.119798
160.021   -0.119833
160.27   -0.119864
160.52   -0.119892
160.769   -0.119915
161.018   -0.119935
161.267   -0.11995
161.517   -0.119962
161.766   -0.119971
162.015   -0.119975
162.264   -0.119977
162.514   -0.119974
162.763   -0.119968
163.012   -0.11996
163.261   -0.119947
163.511   -0.119931
163.76   -0.119912
164.009   -0.11989
164.258   -0.119865
164.508   -0.119836
164.757   -0.119804
165.006   -0.11977
165.255   -0.119732
165.505   -0.119692
165.754   -0.119648
166.003   -0.119602
166.252   -0.119553
166.502   -0.119501
166.751   -0.119446
167   -0.119389
167.249   -0.119329
167.498   -0.119266
167.748   -0.119201
